volume_nm3,volume_voxels,aspect_ratio,sphericity,equiv_diameter_nm,nearest_neighbor_nm
1.742310000000000000e+08,6.453000000000000000e+03,1.312500000000000000e+00,6.639690836891531944e-04,6.929612274415993625e+02,6.878092494299160080e+02
4.468500000000000000e+07,1.655000000000000000e+03,4.200000000000000178e+00,2.680230245459824800e-04,4.402719798901115951e+02,4.342941318744719297e+02
3.361500000000000000e+07,1.245000000000000000e+03,2.285714285714285587e+00,2.216935099568217993e-04,4.004160690338591735e+02,6.004288667560335853e+02
1.388340000000000000e+08,5.142000000000000000e+03,1.055555555555555580e+00,5.706828087568283081e-04,6.424397504349932433e+02,4.342941318744719297e+02
4.833000000000000000e+06,1.790000000000000000e+02,6.500000000000000000e+00,6.084274355089291930e-05,2.097680741086374496e+02,3.876065884134445696e+02
2.116800000000000000e+07,7.840000000000000000e+02,8.666666666666666075e+00,1.628736354177817702e-04,3.432103700446639323e+02,4.331290408173119317e+02
1.653750000000000000e+08,6.125000000000000000e+03,1.500000000000000000e+00,6.412747898139059544e-04,6.810156280691181792e+02,6.337419377414265682e+02
2.889000000000000000e+06,1.070000000000000000e+02,1.200000000000000000e+01,4.317469574743881822e-05,1.767053261039376650e+02,4.580433994417629151e+02
4.419090000000000000e+08,1.636700000000000000e+04,3.200000000000000178e+00,1.234865048900246620e-03,9.450281416967948189e+02,7.834398550893546371e+02
2.226690000000000000e+08,8.247000000000000000e+03,1.444444444444444420e+00,7.819351740181446075e-04,7.520043950389815564e+02,6.311350779357743477e+02
6.782400000000000000e+07,2.512000000000000000e+03,1.000000000000000000e+01,3.539863391779363155e-04,5.059740678425092142e+02,5.801169526168129096e+02
2.357100000000000000e+07,8.730000000000000000e+02,7.666666666666666963e+00,1.749777875375002623e-04,3.557348896374589913e+02,4.084356345546742659e+02
7.450920000000000000e+08,2.759600000000000000e+04,1.444444444444444420e+00,1.749326358549296856e-03,1.124787356892351909e+03,7.618689952809191936e+02
1.398870000000000000e+08,5.181000000000000000e+03,2.166666666666666519e+00,5.735647864639759064e-04,6.440598769374880703e+02,6.416225249851188437e+02
3.373110000000000000e+08,1.249300000000000000e+04,1.125000000000000000e+00,1.031378167681396008e-03,8.636622962695945489e+02,6.531397351287939728e+02
7.196040000000000000e+08,2.665200000000000000e+04,1.161290322580645240e+00,1.709201605990529060e-03,1.111812746670855631e+03,7.970498683111604805e+02
9.798300000000000000e+07,3.629000000000000000e+03,1.714285714285714191e+00,4.523744282778352499e-04,5.719842056657282683e+02,6.643644847352555871e+02
1.642410000000000000e+08,6.083000000000000000e+03,3.181818181818181657e+00,6.383398431353271008e-04,6.794554493436409075e+02,5.049907543174692250e+02
5.205600000000000000e+07,1.928000000000000000e+03,4.599999999999999645e+00,2.967413747683167458e-04,4.632592045661643851e+02,4.172781076118942565e+02
6.874200000000000000e+07,2.546000000000000000e+03,2.200000000000000178e+00,3.571733250282704830e-04,5.082466370830250071e+02,6.903943012777835975e+02
1.625130000000000000e+08,6.019000000000000000e+03,1.411764705882353033e+00,6.338546518236398697e-04,6.770641648525885330e+02,7.299446575554927676e+02
3.032100000000000000e+07,1.123000000000000000e+03,8.333333333333333925e+00,2.069632610073313117e-04,3.868847690764931144e+02,4.348770437316377979e+02
1.620000000000000000e+06,6.000000000000000000e+01,1.400000000000000000e+01,2.935897646239027381e-05,1.457154037803167910e+02,4.382995616053263461e+02
4.519800000000000000e+07,1.674000000000000000e+03,5.400000000000000355e+00,2.700704499147832394e-04,4.419504005385339269e+02,5.604402533203804069e+02
4.095900000000000000e+07,1.517000000000000000e+03,8.250000000000000000e+00,2.529087068978697062e-04,4.276779971139325767e+02,4.258617624541827809e+02
1.267650000000000000e+08,4.695000000000000000e+03,1.500000000000000000e+00,5.371107254177331924e-04,6.232566382288206341e+02,5.580548922638670319e+02
4.064850000000000000e+08,1.505500000000000000e+04,2.733333333333333393e+00,1.167958136647939682e-03,9.190700924177052684e+02,7.874446175415350808e+02
2.216700000000000000e+08,8.210000000000000000e+03,1.529411764705882248e+00,7.795947021804749966e-04,7.508780914339808987e+02,5.541436290570444498e+02
3.385800000000000000e+07,1.254000000000000000e+03,6.750000000000000000e+00,2.227606310043483973e-04,4.013786113649242111e+02,4.015509053058868290e+02
1.404810000000000000e+08,5.203000000000000000e+03,2.700000000000000178e+00,5.751873250119388103e-04,6.449702101305990709e+02,7.320274542793222281e+02
3.842910000000000000e+08,1.423300000000000000e+04,1.272727272727272707e+00,1.125048031099140644e-03,9.020290626820544730e+02,6.900616534502336208e+02
2.284200000000000000e+08,8.460000000000000000e+03,1.555555555555555580e+00,7.953415042720735073e-04,7.584235937215295280e+02,5.713374623601420126e+02
5.848200000000000000e+07,2.166000000000000000e+03,6.000000000000000000e+00,3.206852998118847609e-04,4.815867519990764549e+02,4.806354665662777279e+02
1.339767000000000000e+09,4.962100000000000000e+04,1.888888888888888840e+00,2.586726099252700806e-03,1.367761005754111011e+03,8.256432183743162341e+02
1.063800000000000000e+07,3.940000000000000000e+02,2.600000000000000000e+01,1.029526538331992924e-04,2.728687415065261348e+02,5.120680858217478999e+02
2.112480000000000000e+08,7.824000000000000000e+03,2.333333333333333481e+00,7.549635483883321285e-04,7.389209748845142940e+02,7.507792482684807283e+02
2.537190000000000000e+08,9.397000000000000000e+03,1.555555555555555580e+00,8.530337945558130741e-04,7.854492383522110686e+02,6.991277604548023419e+02
8.472600000000000000e+07,3.138000000000000000e+03,4.666666666666666963e+00,4.105903499294072390e-04,5.449282968269970979e+02,4.766122187597416087e+02
1.899450000000000000e+08,7.035000000000000000e+03,1.411764705882353033e+00,7.033143774606287479e-04,7.131973944347439556e+02,5.946361275693601556e+02
4.482000000000000000e+06,1.660000000000000000e+02,6.500000000000000000e+00,5.786005203844979405e-05,2.045617403883962879e+02,3.947485799657574148e+02
8.877600000000000000e+07,3.288000000000000000e+03,2.200000000000000178e+00,4.235726955812424421e-04,5.534762420934442844e+02,6.487623633593550494e+02
1.562760000000000000e+08,5.788000000000000000e+03,1.222222222222222321e+00,6.175314774736762047e-04,6.682893724583259427e+02,5.840680957042982300e+02
1.128600000000000000e+07,4.180000000000000000e+02,8.000000000000000000e+00,1.070921498467214406e-04,2.783003854730719695e+02,4.456467998980587026e+02
3.564000000000000000e+06,1.320000000000000000e+02,5.500000000000000000e+00,4.966183041688054800e-05,1.895162078311763025e+02,4.456467998980587026e+02
8.054100000000000000e+07,2.983000000000000000e+03,4.333333333333333037e+00,3.969559038523584604e-04,5.358042223971714293e+02,5.121916265117916964e+02
4.908600000000000000e+07,1.818000000000000000e+03,4.599999999999999645e+00,2.853443729691207409e-04,4.542758750097785310e+02,3.297991961565993506e+02
9.450000000000000000e+06,3.500000000000000000e+02,5.333333333333333037e+00,9.513758413959294558e-05,2.623077136770704101e+02,6.197418049471142467e+02
2.245320000000000000e+08,8.316000000000000000e+03,1.368421052631578982e+00,7.862906204536557198e-04,7.540958327838326340e+02,6.387913595737388732e+02
2.556900000000000000e+07,9.470000000000000000e+02,5.750000000000000000e+00,1.847311214078217745e-04,3.655148620172562346e+02,4.435589396198949430e+02
9.369000000000000000e+06,3.470000000000000000e+02,1.150000000000000000e+01,9.459316061111167073e-05,2.615561115238639331e+02,3.982807853361944126e+02
1.323000000000000000e+07,4.900000000000000000e+02,2.600000000000000000e+01,1.190613547805696726e-04,2.934407387131918199e+02,4.206685514290536503e+02
2.284200000000000000e+08,8.460000000000000000e+03,1.315789473684210620e+00,7.953415042720735073e-04,7.584235937215295280e+02,6.875922151633046724e+02
2.970000000000000000e+08,1.100000000000000000e+04,1.421052631578947345e+00,9.474766557104885578e-04,8.277882845610998857e+02,6.514147928628544832e+02
4.860000000000000000e+06,1.800000000000000000e+02,1.800000000000000000e+01,6.106913497205823660e-05,2.101579784893324074e+02,5.225316901558735481e+02
3.034800000000000000e+07,1.124000000000000000e+03,5.750000000000000000e+00,2.070861082756891847e-04,3.869995716853310341e+02,4.577005994213868121e+02
2.160000000000000000e+07,8.000000000000000000e+02,7.000000000000000000e+00,1.650821359362453222e-04,3.455294293781831811e+02,4.845431420022396765e+02
3.666600000000000000e+07,1.358000000000000000e+03,4.000000000000000000e+00,2.349127607885748148e-04,4.121813182985159756e+02,5.135083286235430933e+02
1.125900000000000000e+07,4.170000000000000000e+02,9.000000000000000000e+00,1.069212739821523428e-04,2.780782781277456479e+02,4.688119746608967375e+02
1.393200000000000000e+07,5.160000000000000000e+02,5.333333333333333037e+00,1.232366485055536032e-04,2.985416630944865801e+02,4.306063871644460619e+02
2.058750000000000000e+08,7.625000000000000000e+03,4.299999999999999822e+00,7.421072223223745823e-04,7.326023879884612597e+02,6.557099273121878014e+02
2.629800000000000000e+07,9.740000000000000000e+02,1.350000000000000000e+01,1.882259093690663576e-04,3.689561038971261837e+02,4.320666191125076807e+02
4.482000000000000000e+06,1.660000000000000000e+02,1.500000000000000000e+01,5.786005203844979405e-05,2.045617403883962879e+02,5.198336227613323217e+02
5.059800000000000000e+07,1.874000000000000000e+03,4.166666666666666963e+00,2.911743649747222662e-04,4.588931512685931580e+02,3.751193690050943701e+02
1.637010000000000000e+08,6.063000000000000000e+03,1.222222222222222321e+00,6.369399488903582096e-04,6.787099822363895782e+02,4.951641382915053669e+02
6.642000000000000000e+08,2.460000000000000000e+04,1.679999999999999938e+00,1.620305120013654232e-03,1.082513737248740654e+03,7.108864612386606723e+02
3.006180000000000000e+08,1.113400000000000000e+04,1.173913043478260976e+00,9.551558177918195724e-04,8.311360493098138704e+02,6.426938519659728399e+02
5.292000000000000000e+07,1.960000000000000000e+03,2.857142857142857206e+00,3.000158176291733980e-04,4.658081373236462923e+02,3.884011368007876968e+02
7.462800000000000000e+07,2.764000000000000000e+03,3.625000000000000000e+00,3.772814525291323662e-04,5.223573703063974563e+02,6.923292538028229046e+02
4.676400000000000000e+07,1.732000000000000000e+03,3.285714285714285587e+00,2.762731746770441532e-04,4.469967270253548577e+02,4.198263263120664988e+02
7.290000000000000000e+05,2.700000000000000000e+01,6.000000000000000000e+00,1.724047797324601561e-05,1.116630883618919796e+02,4.756915621759936244e+02
4.128840000000000000e+08,1.529200000000000000e+04,3.666666666666666519e+00,1.180183724500238895e-03,9.238677568072105259e+02,7.035295915195972611e+02
6.663600000000000000e+08,2.468000000000000000e+04,1.639999999999999902e+00,1.623816206119954586e-03,1.083685924127985800e+03,7.852621088765804416e+02
4.997700000000000000e+07,1.851000000000000000e+03,2.750000000000000000e+00,2.887870359700173140e-04,4.570080536686282358e+02,3.827870662019540191e+02
2.574990000000000000e+08,9.537000000000000000e+03,1.449999999999999956e+00,8.614854305051267147e-04,7.893306643220724936e+02,6.140547001209785094e+02
1.333800000000000000e+08,4.940000000000000000e+03,1.166666666666666741e+00,5.556372925639152527e-04,6.339145161965988109e+02,6.487623633593550494e+02
1.674270000000000000e+08,6.201000000000000000e+03,1.625000000000000000e+00,6.465686019510030746e-04,6.838207753219153346e+02,6.518439966077628469e+02
5.370300000000000000e+07,1.989000000000000000e+03,2.750000000000000000e+00,3.029679064638912678e-04,4.680942521263252729e+02,6.973895118462799019e+02
3.329910000000000000e+08,1.233300000000000000e+04,1.080000000000000071e+00,1.022553187794983387e-03,8.599594193314882205e+02,6.059789312622688158e+02
4.595400000000000000e+07,1.702000000000000000e+03,4.500000000000000000e+00,2.730736450757831335e-04,4.444008686846407841e+02,4.358834144765171459e+02
3.369600000000000000e+07,1.248000000000000000e+03,1.199999999999999956e+00,2.220495080109685659e-04,4.007374303829024598e+02,3.827870662019540191e+02
2.754540000000000000e+08,1.020200000000000000e+04,1.666666666666666741e+00,9.010805515572428703e-04,8.072662952948954853e+02,5.824850486916456020e+02
1.712340000000000000e+08,6.342000000000000000e+03,1.411764705882353033e+00,6.563329952768981457e-04,6.889649469653821825e+02,5.580548922638670319e+02
3.944700000000000000e+07,1.461000000000000000e+03,2.571428571428571619e+00,2.466457081027328968e-04,4.223493070080272105e+02,6.140547001209785094e+02
2.066310000000000000e+08,7.653000000000000000e+03,1.047619047619047672e+00,7.439228356815874577e-04,7.334980299257859997e+02,6.342335443216740032e+02
2.249370000000000000e+08,8.331000000000000000e+03,1.095238095238095344e+00,7.872358546592295170e-04,7.545489610221749217e+02,5.991405225900755340e+02
2.455650000000000000e+08,9.095000000000000000e+03,1.250000000000000000e+00,8.346579852513968945e-04,7.769432210421803120e+02,6.138992528410899467e+02
2.545290000000000000e+08,9.427000000000000000e+03,1.238095238095238138e+00,8.548483601771295071e-04,7.862842014964335249e+02,6.169693977434006911e+02
3.058560000000000000e+08,1.132800000000000000e+04,1.130434782608695565e+00,9.662189986556768417e-04,8.359355482903296206e+02,7.035295915195972611e+02
8.421300000000000000e+07,3.119000000000000000e+03,2.454545454545454586e+00,4.089313151780515909e-04,5.438262568164891491e+02,5.033199591502383896e+02
2.772360000000000000e+08,1.026800000000000000e+04,3.636363636363636243e+00,9.049626532942056656e-04,8.090033760127664664e+02,6.362940692192092911e+02
1.115370000000000000e+08,4.131000000000000000e+03,2.888888888888888840e+00,4.931853618472814560e-04,5.972279334424326862e+02,7.108864612386606723e+02
1.641060000000000000e+08,6.078000000000000000e+03,1.470588235294117752e+00,6.379900150932371616e-04,6.792692359355694407e+02,6.643158192948729948e+02
2.277720000000000000e+08,8.436000000000000000e+03,1.263157894736842035e+00,7.938366034068167210e-04,7.577057290296988867e+02,4.580433994417629151e+02
1.269000000000000000e+08,4.700000000000000000e+03,1.333333333333333259e+00,5.374919855967164040e-04,6.234778080977143873e+02,5.026240056794749762e+02
7.386660000000000000e+08,2.735800000000000000e+04,1.959999999999999964e+00,1.739253872074186802e-03,1.121544463172696396e+03,5.120680858217478999e+02
2.992680000000000000e+08,1.108400000000000000e+04,1.181818181818181879e+00,9.522940963506698608e-04,8.298900411310593199e+02,5.225316901558735481e+02
1.812780000000000000e+08,6.714000000000000000e+03,1.600000000000000089e+00,6.817539106123149395e-04,7.021805995826086928e+02,5.198336227613323217e+02
8.969400000000000000e+07,3.322000000000000000e+03,2.000000000000000000e+00,4.264877061359584332e-04,5.553774686048089961e+02,4.756915621759936244e+02
4.617000000000000000e+06,1.710000000000000000e+02,1.800000000000000000e+01,5.901614713366143405e-05,2.065952905936713933e+02,5.455283654078397149e+02
4.802490000000000000e+08,1.778700000000000000e+04,1.153846153846153744e+00,1.305294572375714779e-03,9.716039736437320471e+02,6.646356957710787583e+02
1.648890000000000000e+08,6.107000000000000000e+03,1.166666666666666741e+00,6.400177371688187122e-04,6.803478561474246362e+02,3.947485799657574148e+02
3.129570000000000000e+08,1.159100000000000000e+04,2.166666666666666519e+00,9.811167838051915169e-04,8.423553707725548065e+02,7.036474975634778275e+02
1.545750000000000000e+08,5.725000000000000000e+03,1.466666666666666563e+00,6.130422698333859444e-04,6.658558366321016138e+02,4.206685514290536503e+02
2.133000000000000000e+06,7.900000000000000000e+01,1.200000000000000000e+01,3.526886575855314732e-05,1.597094979166018902e+02,5.033199591502383896e+02
7.635600000000000000e+07,2.828000000000000000e+03,1.285714285714285809e+00,3.830831265076994896e-04,5.263583485543656479e+02,3.876065884134445696e+02
7.303500000000000000e+07,2.705000000000000000e+03,1.416666666666666741e+00,3.718932275660336018e-04,5.186138814365066310e+02,4.084356345546742659e+02
1.407510000000000000e+08,5.213000000000000000e+03,1.235294117647058876e+00,5.759241175837814808e-04,6.453831497466625251e+02,5.587878777521774509e+02
1.133460000000000000e+08,4.198000000000000000e+03,2.083333333333333481e+00,4.985036794096231461e-04,6.004394134444152087e+02,3.982807853361944126e+02
2.775330000000000000e+08,1.027900000000000000e+04,1.285714285714285809e+00,9.056088747456669807e-04,8.092921651703841235e+02,4.688119746608967375e+02
1.615680000000000000e+08,5.984000000000000000e+03,1.437500000000000000e+00,6.313950289040803909e-04,6.757492549972446341e+02,4.577005994213868121e+02
1.921860000000000000e+08,7.118000000000000000e+03,2.714285714285714413e+00,7.088354323059320450e-04,7.159912394483208118e+02,4.306063871644460619e+02
3.080160000000000000e+08,1.140800000000000000e+04,1.399999999999999911e+00,9.707626886665821075e-04,8.378987672158067426e+02,4.320666191125076807e+02
2.324430000000000000e+08,8.609000000000000000e+03,1.100000000000000089e+00,8.046528673730790615e-04,7.628502330114088181e+02,4.681230405430255246e+02
1.936440000000000000e+08,7.172000000000000000e+03,1.388888888888888840e+00,7.124159019440412521e-04,7.177972788133043878e+02,5.034685203069760746e+02
2.080080000000000000e+08,7.704000000000000000e+03,1.647058823529411686e+00,7.472242577932775021e-04,7.351237805518240975e+02,4.331290408173119317e+02
2.213730000000000000e+08,8.199000000000000000e+03,1.421052631578947345e+00,7.788981893099844456e-04,7.505425920186789881e+02,4.348770437316377979e+02
8.615700000000000000e+07,3.191000000000000000e+03,1.923076923076923128e+00,4.152005712967365980e-04,5.479790839331809593e+02,4.258617624541827809e+02
1.385910000000000000e+08,5.133000000000000000e+03,1.666666666666666741e+00,5.700167384929955006e-04,6.420647125503259076e+02,5.730326685396632911e+02
2.772090000000000000e+08,1.026700000000000000e+04,1.550000000000000044e+00,9.049039217643439770e-04,8.089771122275318476e+02,5.801169526168129096e+02
2.128950000000000000e+08,7.885000000000000000e+03,1.875000000000000000e+00,7.588825537823140621e-04,7.408363439879344696e+02,4.806354665662777279e+02
1.297620000000000000e+08,4.806000000000000000e+03,1.500000000000000000e+00,5.455433856695890427e-04,6.281301445572778448e+02,4.015509053058868290e+02
5.400000000000000000e+07,2.000000000000000000e+03,1.545454545454545414e+00,3.040838928427547216e-04,4.689555850780630522e+02,4.435589396198949430e+02
2.667600000000000000e+08,9.880000000000000000e+03,1.136363636363636465e+00,8.820192306302487850e-04,7.986822427900193588e+02,5.135083286235430933e+02
3.264840000000000000e+08,1.209200000000000000e+04,1.631578947368421018e+00,1.009188243187963963e-03,8.543210228137601234e+02,6.377020819912846719e+02
1.028160000000000000e+08,3.808000000000000000e+03,1.714285714285714191e+00,4.671303031500428915e-04,5.812380367526276359e+02,4.172781076118942565e+02
8.186400000000000000e+07,3.032000000000000000e+03,1.899999999999999911e+00,4.012911231257021427e-04,5.387220846509434296e+02,3.297991961565993506e+02
9.911430000000000000e+08,3.670900000000000000e+04,1.312500000000000000e+00,2.115867333486676216e-03,1.237027151117611993e+03,6.533218825851855627e+02
2.430000000000000000e+07,9.000000000000000000e+02,7.333333333333333037e+00,1.785672211553901434e-04,3.593650882189571121e+02,2.549566010729493541e+02
2.252340000000000000e+08,8.342000000000000000e+03,1.388888888888888840e+00,7.879286422394216061e-04,7.548809094960960238e+02,4.766122187597416087e+02
3.129030000000000000e+08,1.158900000000000000e+04,1.272727272727272707e+00,9.810039773583412170e-04,8.423069191679055621e+02,5.121916265117916964e+02
6.544800000000000000e+07,2.424000000000000000e+03,1.583333333333333259e+00,3.456701233517378569e-04,4.999952967367457859e+02,3.751193690050943701e+02
9.873900000000000000e+07,3.657000000000000000e+03,4.142857142857143238e+00,4.546983691398054361e-04,5.734515101028359823e+02,4.304668696477476146e+02
2.046870000000000000e+08,7.581000000000000000e+03,2.000000000000000000e+00,7.392495754174888134e-04,7.311905100609076271e+02,6.388661574214828534e+02
2.921400000000000000e+07,1.082000000000000000e+03,1.555555555555555580e+00,2.018947125179693103e-04,3.821179749688482161e+02,3.985261071790027358e+02
3.485700000000000000e+07,1.291000000000000000e+03,1.699999999999999956e+00,2.271211415063589811e-04,4.052880462998238613e+02,3.884011368007876968e+02
4.104000000000000000e+07,1.520000000000000000e+03,2.250000000000000000e+00,2.532420621719211340e-04,4.279597350064261718e+02,2.549566010729493541e+02
6.842070000000000000e+08,2.534100000000000000e+04,1.479999999999999982e+00,1.652681850828230381e-03,1.093275536388603996e+03,7.817783984465410185e+02
1.177200000000000000e+08,4.360000000000000000e+03,1.187500000000000000e+00,5.112473736517131329e-04,6.080657524339226256e+02,5.049907543174692250e+02
1.716390000000000000e+08,6.357000000000000000e+03,5.285714285714285587e+00,6.573675200343132019e-04,6.895076956906818850e+02,6.533218825851855627e+02
4.215240000000000000e+08,1.561200000000000000e+04,1.080000000000000071e+00,1.196591183543205261e-03,9.302675989415361073e+02,6.689814808395339014e+02
4.468500000000000000e+07,1.655000000000000000e+03,1.250000000000000000e+00,2.680230245459824800e-04,4.402719798901115951e+02,5.369888813706442079e+02
1.458837000000000000e+09,5.403100000000000000e+04,1.333333333333333259e+00,2.737802453339099884e-03,1.407135918977401388e+03,7.874446175415350808e+02
1.362960000000000000e+08,5.048000000000000000e+03,1.500000000000000000e+00,5.637064459733664989e-04,6.385008739301031255e+02,5.286718156521310448e+02
2.509380000000000000e+08,9.294000000000000000e+03,1.181818181818181879e+00,8.467889856547117233e-04,7.825689336612374518e+02,5.957991393071997663e+02
5.203170000000000000e+08,1.927100000000000000e+04,1.280000000000000027e+00,1.376922824420034885e-03,9.979063765655283760e+02,7.405777115985882801e+02
7.932330000000000000e+08,2.937900000000000000e+04,1.481481481481481399e+00,1.823887694627046585e-03,1.148508067998337992e+03,8.219969922505272280e+02
4.959900000000000000e+08,1.837000000000000000e+04,1.375000000000000000e+00,1.333663240075111389e-03,9.821054009373234521e+02,7.004328537812599507e+02
