Stage,Detected,Analyzed,Area Fraction,Mean Volume (nmA3),Mean Diameter (nm),Mean Aspect Ratio,Mean Sphericity,Mean Roundness,Mean NN Distance (nm)
Initial (Cubic),64,62,0.702392578125,5007193.548387097,211.17031622791126,1.1216708023159634,0.9577739571116601,0.9729231721723209,460.5666418129496
0.6% Strain,53,51,0.6494140625,5627117.647058823,216.7267946911036,1.4165589312648137,0.9264776869283203,0.9601525725081429,474.0548758559301
1.0% Strain (Raft),36,34,0.58306884765625,7574294.117647059,228.82627162659998,2.3548762271945662,0.7915351307731712,0.9204345231006592,492.7107408576668
