Dataset,Grid Size,Slice Area (µm²),Detected,Analyzed,Area Fraction,Mean Volume (nm³),Mean Diameter (nm),Mean Aspect Ratio,Mean Sphericity,Mean Roundness,Mean NN Distance (nm)
PF_Initial,256³,58.9824,120,118,0.702911376953125,10539838.983050847,261.42592939237045,1.7393514199923101,0.9237812837905495,0.9456637560434911,620.019120158177
PF_old,128³,14.7456,36,34,0.15374755859375,1990852.9411764706,149.3952161346508,1.136827306680248,0.9393828419665142,0.9515356928943748,480.6519704151206
