0 10 5 4 6 5 5 4 7 5 7 6 
100 10 5 4 6 5 5 4 7 5 7 6 
200 10 5 4 6 5 5 4 7 5 7 6 
300 10 5 4 6 5 5 4 7 5 7 6 
400 10 5 4 6 5 5 4 7 5 7 6 
500 10 5 4 6 5 5 4 7 5 7 6 
600 10 5 4 6 5 5 4 7 5 7 6 
700 10 5 4 6 5 5 4 7 5 7 6 
800 10 5 4 6 5 5 4 7 5 7 6 
900 10 5 4 6 5 5 4 7 5 7 6 
1000 10 5 4 6 5 5 4 7 5 7 6 
1100 10 5 4 6 5 5 4 7 5 7 6 
1200 10 5 4 6 5 5 4 7 5 7 6 
1300 10 5 4 6 5 5 4 7 5 7 6 
1400 10 5 4 6 5 5 4 7 5 7 6 
1500 10 5 4 6 5 5 4 7 5 7 6 
1600 10 5 4 6 5 5 4 7 5 7 6 
1700 10 5 4 6 5 5 4 7 5 7 6 
1800 10 5 4 6 5 5 4 7 5 7 6 
1900 10 5 4 6 5 5 4 7 5 7 6 
2000 10 5 4 6 5 5 4 7 5 7 6 
2100 10 5 4 6 5 5 4 7 5 7 6 
2200 10 5 4 6 5 5 4 7 5 7 6 
2300 10 5 4 6 5 5 4 7 5 7 6 
2400 10 5 4 6 5 5 4 7 5 7 6 
2500 10 5 4 6 5 5 4 7 5 7 6 
2600 10 5 4 6 5 5 4 7 5 7 6 
2700 10 5 4 6 5 5 4 7 5 7 6 
2800 10 5 4 6 5 5 4 7 5 7 6 
2900 10 5 4 6 5 5 4 7 5 7 6 
3000 10 5 4 6 5 5 4 7 5 7 6 
3100 10 5 4 6 5 5 4 7 5 7 6 
3200 10 5 4 6 5 5 4 7 5 7 6 
3300 10 5 4 6 5 5 4 7 5 7 6 
3400 10 5 4 6 5 5 4 7 5 7 6 
3500 10 5 4 6 5 5 4 7 5 7 6 
3600 10 5 4 6 5 5 4 7 5 7 6 
3700 10 5 4 6 5 5 4 7 5 7 6 
3800 10 5 4 6 5 5 4 7 5 7 6 
3900 10 5 4 6 5 5 4 7 5 7 6 
4000 10 5 4 6 5 5 4 7 5 7 6 
4100 10 5 4 6 5 5 4 7 5 7 6 
4200 10 5 4 6 5 5 4 7 5 7 6 
4300 10 5 4 6 5 5 4 7 5 7 6 
4400 10 5 4 6 5 5 4 7 5 7 6 
4500 10 5 4 6 5 5 4 7 5 7 6 
4600 10 5 4 6 5 5 4 7 5 7 6 
4700 10 5 4 6 5 5 4 7 5 7 6 
4800 10 5 4 6 5 5 4 7 5 7 6 
4900 10 5 4 6 5 5 4 7 5 7 6 
5000 10 5 4 6 5 5 4 7 5 7 6 
