0 10 409.6 4.096e-16
100 10 409.6 4.096e-16
200 10 409.6 4.096e-16
300 10 409.6 4.096e-16
400 10 409.6 4.096e-16
500 10 409.6 4.096e-16
600 10 409.6 4.096e-16
700 10 409.6 4.096e-16
800 10 409.6 4.096e-16
900 10 409.6 4.096e-16
1000 10 409.6 4.096e-16
1100 10 409.6 4.096e-16
1200 10 409.6 4.096e-16
1300 10 409.6 4.096e-16
1400 10 409.6 4.096e-16
1500 10 409.6 4.096e-16
1600 10 409.6 4.096e-16
1700 10 409.6 4.096e-16
1800 10 409.6 4.096e-16
1900 10 409.6 4.096e-16
2000 10 409.6 4.096e-16
2100 10 409.6 4.096e-16
2200 10 409.6 4.096e-16
2300 10 409.6 4.096e-16
2400 10 409.6 4.096e-16
2500 10 409.6 4.096e-16
2600 10 409.6 4.096e-16
2700 10 409.6 4.096e-16
2800 10 409.6 4.096e-16
2900 10 409.6 4.096e-16
3000 10 409.6 4.096e-16
3100 10 409.6 4.096e-16
3200 10 409.6 4.096e-16
3300 10 409.6 4.096e-16
3400 10 409.6 4.096e-16
3500 10 409.6 4.096e-16
3600 10 409.6 4.096e-16
3700 10 409.6 4.096e-16
3800 10 409.6 4.096e-16
3900 10 409.6 4.096e-16
4000 10 409.6 4.096e-16
4100 10 409.6 4.096e-16
4200 10 409.6 4.096e-16
4300 10 409.6 4.096e-16
4400 10 409.6 4.096e-16
4500 10 409.6 4.096e-16
4600 10 409.6 4.096e-16
4700 10 409.6 4.096e-16
4800 10 409.6 4.096e-16
4900 10 409.6 4.096e-16
5000 10 409.6 4.096e-16
