Time, Value
0.0229, 6.117340e+14
0.023, 6.128529e+14
0.0231, 6.139721e+14
0.0232, 6.150916e+14
0.0233, 6.162114e+14
0.0234, 6.173315e+14
0.0235, 6.184518e+14
0.0236, 6.195725e+14
0.0237, 6.206934e+14
0.0238, 6.218146e+14
0.0239, 6.229361e+14
0.024, 6.240578e+14
0.0241, 6.251798e+14
0.0242, 6.263021e+14
0.0243, 6.274247e+14
0.0244, 6.285475e+14
0.0245, 6.296706e+14
0.0246, 6.307939e+14
0.0247, 6.319175e+14
0.0248, 6.330414e+14
0.0249, 6.341655e+14
0.025, 6.352898e+14
0.0251, 6.364144e+14
0.0252, 6.375393e+14
0.0253, 6.386644e+14
0.0254, 6.397897e+14
0.0255, 6.409153e+14
0.0256, 6.420411e+14
0.0257, 6.431672e+14
0.0258, 6.442935e+14
0.0259, 6.454200e+14
0.026, 6.465467e+14
0.0261, 6.476737e+14
0.0262, 6.488009e+14
0.0263, 6.499284e+14
0.0264, 6.510560e+14
0.0265, 6.521839e+14
0.0266, 6.533120e+14
0.0267, 6.544403e+14
0.0268, 6.555688e+14
0.0269, 6.566975e+14
0.027, 6.578265e+14
0.0271, 6.589556e+14
0.0272, 6.600850e+14
0.0273, 6.612145e+14
0.0274, 6.623443e+14
0.0275, 6.634743e+14
0.0276, 6.646044e+14
0.0277, 6.657348e+14
0.0278, 6.668654e+14
0.0279, 6.679961e+14
0.028, 6.691270e+14
0.0281, 6.702582e+14
0.0282, 6.713895e+14
0.0283, 6.725210e+14
0.0284, 6.736526e+14
0.0285, 6.747845e+14
0.0286, 6.759165e+14
0.0287, 6.770488e+14
0.0288, 6.781811e+14
0.0289, 6.793137e+14
0.029, 6.804464e+14
0.0291, 6.815793e+14
0.0292, 6.827124e+14
0.0293, 6.838457e+14
0.0294, 6.849791e+14
0.0295, 6.861126e+14
0.0296, 6.872464e+14
0.0297, 6.883802e+14
0.0298, 6.895143e+14
0.0299, 6.906485e+14
0.03, 6.917828e+14
0.0301, 6.929173e+14
0.0302, 6.940520e+14
0.0303, 6.951868e+14
0.0304, 6.963217e+14
0.0305, 6.974568e+14
0.0306, 6.985920e+14
0.0307, 6.997274e+14
0.0308, 7.008629e+14
0.0309, 7.019985e+14
0.031, 7.031343e+14
0.0311, 7.042702e+14
0.0312, 7.054063e+14
0.0313, 7.065424e+14
0.0314, 7.076787e+14
0.0315, 7.088152e+14
0.0316, 7.099517e+14
0.0317, 7.110884e+14
0.0318, 7.122252e+14
0.0319, 7.133621e+14
0.032, 7.144991e+14
0.0321, 7.156363e+14
0.0322, 7.167735e+14
0.0323, 7.179109e+14
0.0324, 7.190484e+14
0.0325, 7.201860e+14
0.0326, 7.213237e+14
0.0327, 7.224615e+14
0.0328, 7.235994e+14
0.0329, 7.247374e+14
0.033, 7.258756e+14
0.0331, 7.270138e+14
0.0332, 7.281521e+14
0.0333, 7.292905e+14
0.0334, 7.304290e+14
0.0335, 7.315676e+14
0.0336, 7.327063e+14
0.0337, 7.338450e+14
0.0338, 7.349839e+14
0.0339, 7.361229e+14
0.034, 7.372619e+14
0.0341, 7.384010e+14
0.0342, 7.395402e+14
0.0343, 7.406795e+14
0.0344, 7.418188e+14
0.0345, 7.429582e+14
0.0346, 7.440977e+14
0.0347, 7.452373e+14
0.0348, 7.463770e+14
0.0349, 7.475167e+14
0.035, 7.486565e+14
0.0351, 7.497963e+14
0.0352, 7.509362e+14
0.0353, 7.520762e+14
0.0354, 7.532163e+14
0.0355, 7.543564e+14
0.0356, 7.554965e+14
0.0357, 7.566367e+14
0.0358, 7.577770e+14
0.0359, 7.589173e+14
0.036, 7.600577e+14
0.0361, 7.611982e+14
0.0362, 7.623386e+14
0.0363, 7.634792e+14
0.0364, 7.646197e+14
0.0365, 7.657604e+14
0.0366, 7.669010e+14
0.0367, 7.680417e+14
0.0368, 7.691825e+14
0.0369, 7.703233e+14
0.037, 7.714641e+14
0.0371, 7.726050e+14
0.0372, 7.737459e+14
0.0373, 7.748868e+14
0.0374, 7.760277e+14
0.0375, 7.771687e+14
0.0376, 7.783097e+14
0.0377, 7.794508e+14
0.0378, 7.805919e+14
0.0379, 7.817330e+14
0.038, 7.828741e+14
0.0381, 7.840152e+14
0.0382, 7.851564e+14
0.0383, 7.862975e+14
0.0384, 7.874387e+14
0.0385, 7.885799e+14
0.0386, 7.897212e+14
0.0387, 7.908624e+14
0.0388, 7.920037e+14
0.0389, 7.931449e+14
0.039, 7.942862e+14
0.0391, 7.954274e+14
0.0392, 7.965687e+14
0.0393, 7.977100e+14
0.0394, 7.988513e+14
0.0395, 7.999926e+14
0.0396, 8.011339e+14
0.0397, 8.022751e+14
0.0398, 8.034164e+14
0.0399, 8.045577e+14
0.04, 8.056990e+14
0.0401, 8.068402e+14
0.0402, 8.079815e+14
0.0403, 8.091227e+14
0.0404, 8.102640e+14
0.0405, 8.114052e+14
0.0406, 8.125464e+14
0.0407, 8.136876e+14
0.0408, 8.148288e+14
0.0409, 8.159699e+14
0.041, 8.171111e+14
0.0411, 8.182522e+14
0.0412, 8.193933e+14
0.0413, 8.205344e+14
0.0414, 8.216754e+14
0.0415, 8.228165e+14
0.0416, 8.239575e+14
0.0417, 8.250984e+14
