label_id,volume_nm3,volume_voxels,equiv_diameter_nm,aspect_ratio,sphericity_wadell,roundness_wadell,nearest_neighbor_nm
1,2430000.0,90,166.80249806673825,2.6666666666666665,0.5683492972887083,0.9863262176513672,632.6622033351825
2,5508000.0,204,219.11146524828834,2.1,0.7261395089691103,0.9884653687477112,647.8458574368425
3,13689000.0,507,296.7957654932552,1.0909090909090908,0.9510874618483489,0.9281610488891602,767.3105990716409
4,864000.0,32,118.16940262112355,9.5,,,535.604557035995
5,2538000.0,94,169.23791458564145,4.4,0.7107629036400038,0.8238370418548584,411.09467804165183
6,9342000.0,346,261.3046151076936,1.1111111111111112,0.9384300486515447,0.9317216277122498,568.0317254572373
7,8613000.0,319,254.32278747626916,2.3333333333333335,0.8248070126741746,0.9658195972442627,743.1931307844006
8,2457000.0,91,167.41801101680156,4.0,0.7437113454016688,0.8751355012257894,320.2187850670189
9,2241000.0,83,162.360760942493,4.0,0.7266730359408463,0.8070735136667887,501.4959477439732
10,9369000.0,347,261.55611152386393,1.2222222222222223,0.8979428942861121,0.8917620249958659,493.02740351742716
11,3267000.0,121,184.09846640704134,2.857142857142857,0.6920818231159972,0.9352903366088867,377.25491728560723
12,19575000.0,725,334.3754492073653,1.1538461538461537,0.9542056818036417,0.935021162033081,535.604557035995
13,5076000.0,188,213.22641102676025,1.0714285714285714,0.9492133492275557,0.9832666748943931,411.09467804165183
14,4698000.0,174,207.79645299400983,1.9,0.7705125615869544,0.9865648746490479,320.2187850670189
15,12042000.0,446,284.3806222696689,1.0,0.973758259908566,0.9570270538330078,501.4959477439732
16,14958000.0,554,305.6973229379274,1.5789473684210527,0.8893167506463413,0.9387420018513998,632.6622033351825
17,4860000.0,180,210.1579784893324,4.142857142857143,0.5882654244097668,0.9546652634938558,423.5967483472933
18,2241000.0,83,162.360760942493,1.0,0.8629654527301079,0.8470101194370505,377.25491728560723
19,17307000.0,641,320.9280843579039,1.08,0.9897947816477266,0.9496303540929455,659.3747305591646
20,23004000.0,852,352.8593086414532,1.1428571428571428,0.9716696470154056,0.8837757110595703,738.1551238322912
21,14040000.0,520,299.31110377351007,1.2380952380952381,0.9731345014455645,0.923956574803022,632.5309959482738
22,8181000.0,303,249.99764836837292,1.4,0.918632660030879,0.9880691937037877,713.6693632865762
23,20979000.0,777,342.1858553821623,1.0714285714285714,0.9831435094981494,0.888202335793196,663.0411603245583
24,13554000.0,502,295.816880528203,1.0909090909090908,0.9555477764766042,0.9533162117004395,716.75280134518
25,10746000.0,398,273.78904777061734,1.1,0.955782014578193,0.8942574662904375,595.3725805102717
